grammar_error_sentence,corrected_sentence,spelling_error_sentences
මම බත් කමින් ගෙදර වේගයෙන් යැවෙහි,මම බත් කමින් ගෙදර වේගයෙන් යැවෙමි,මම බත් කමින් ගෙදර වේගයෙන් යැවෙි
වාහනය පොත බලා ගෙදර වේගයෙන් යමි,වාහනය පොත බලා ගෙදර වේගයෙන් යන්නේය,වාහනය පොත බලා ගෙර වේගයෙන් යන්නේය
මම බත් කමින් වේගයෙන් යනලදී,මම බත් කමින් වේගයෙන් යවමි,ම බත් කමින් වේගයෙන් යවමි
ළමයි වේගයෙන් යැවවේ,ළමයි වේගයෙන් යැවවෙති,ළමයි වේගයෙන් ැවවෙති
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් දුන්නේය,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පතක් ගැනවේ
ළමයි බත් කමින් ගෙදර වේගයෙන් යහුවා,ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෝය,ළමයි බත් කමින් ගෙදර ේගයෙන් යවන්නෝය
වාහනය ඔහුට පොතක් ගන්නේය,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යැවවෙති,මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යැවවෙයි,ම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යැවවෙයි
ලස්සන ළමයි ගෙදර යවන්නෙමු,ලස්සන ළමයි ගෙදර යවති,ලස්සන ළමයි ගෙද යවති
වාහන ඔහුගෙන් පොතක් දෙන්නෙමු,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක් ැනවේ
ළමයි ඔහුට පොතක් දෙවේ,ළමයි ඔහුට පොතක් දුන්නෝය,ළමයි ඔහට පොතක් දුන්නෝය
ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් ගන්නු,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගැනෙමි,ඔ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගැනෙමි
ළමයි ගෙදර වේගයෙන් යවන්නේය,ළමයි ගෙදර වේගයෙන් යවති,ළමයි ගෙදර වේගෙන් යවති
අපි බත් කමින් යහු,අපි බත් කමින් යවමු,පි බත් කමින් යවමු
වාහනය ඔහුට පොතක් ගන්හිවා,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙර වේගයෙන් යැවවේ
වාහන ගෙදර වේගයෙන් යවමි,වාහන ගෙදර වේගයෙන් යවන්නේය,වාහන ගෙදර වේයෙන් යවන්නේය
ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් දුන්නෙහි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සි්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
මම පොත බලා වේගයෙන් යන්නෙමුවා,මම පොත බලා වේගයෙන් යන්නෙමිවා,මම පොත බලා වේගයන් යන්නෙමිවා
මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යන්නේය,මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යනවාලා,මම නැටුම් නටදදී ලස්සන නුබලා ගෙදර යනවාලා
ලස්සන වාහනය පොත බලා ගෙදර යැවෙමු,ලස්සන වාහනය පොත බලා ගෙදර යැවේ,ලස්සන වාහනය ොත බලා ගෙදර යැවේ
ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් දුන්නාය,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්ු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
ළමයා බත් කමින් ගියෝය,ළමයා බත් කමින් ගියේය,ළමා බත් කමින් ගියේය
මම නැටුම් නටද්දී වාහන ඔහුට පොතක් දෙවති,මම නැටුම් නටද්දී වාහන ඔහුට පොතක් දෙයි,මම නැටුම් නටද්දී වාහන ඔුට පොතක් දෙයි
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යැවෙයි,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර ගියෝය,බ සින්දු කිව්වොත් ළමයි ගෙදර ගියෝය
වාහනය ගෙදර යැවෙහු,වාහනය ගෙදර යැවේ,වාහන ගෙදර යැවේ
අපි ඔහුට පොතක් දෙනලදී,අපි ඔහුට පොතක් දෙවමු,අපි හුට පොතක් දෙවමු
මම ඔහුට පොතක් දෙවෙහු,මම ඔහුට පොතක් දෙවෙමි,ම ඔහුට පොතක් දෙවෙමි
මම ඔහුට පොතක් දෙවහි,මම ඔහුට පොතක් දෙවමි,මම ඔහුට පොතක් දවමි
නුබලා ඔහුගෙන් පොතක් දෙවයි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන පොතක් ගැනවේ
ළමයි වේගයෙන් යන්නෙහිවා,ළමයි වේගයෙන් යති,ළමයි වේගයෙන් යි
මම බත් කමින් වේගයෙන් යවු,මම බත් කමින් වේගයෙන් යවමි,ම බත් කමින් වේගයෙන් යවමි
මම ගෙදර යැවේ,මම ගෙදර ගියෙමි,මම ගෙර ගියෙමි
